"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 28 10:58:30 GMT 2021","Thu Jan 28 10:58:30 GMT 2021","0","Testing token","","","","","Token is undefined by default",""
"passed","Thu Jan 28 10:58:30 GMT 2021","Thu Jan 28 10:58:30 GMT 2021","2","Good test","","","","","Passed",""
"failed","Thu Jan 28 10:58:30 GMT 2021","Thu Jan 28 10:58:30 GMT 2021","15","Bad test","","","","","Failed",""
